PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32611608","Fasting Serum Fructose Levels Are Associated With Risk of Incident Type 2 Diabetes in Middle-Aged and Older Chinese Population","Chen Y, Lin H, Qin L, Lu Y, Zhao L, Xia M, Jiang J, Li X, Yu C, Zong G, Zheng Y, Gao X, Su Q, Li X.","Diabetes Care. 2020 Sep;43(9):2217-2225. doi: 10.2337/dc19-2494. Epub 2020 Jul 1.","Chen Y","Diabetes Care","2020","2020/07/03","","","10.2337/dc19-2494"
"33869930","Urinary Proteomic Characteristics of Hyperuricemia and Their Possible Links with the Occurrence of Its Concomitant Diseases","Huo S, Wang H, Yan M, Xu P, Song T, Li C, Tian R, Chen X, Bao K, Xie Y, Xu P, Zhu W, Liu F, Mao W, Shao C.","ACS Omega. 2021 Mar 29;6(14):9500-9508. doi: 10.1021/acsomega.0c06229. eCollection 2021 Apr 13.","Huo S","ACS Omega","2021","2021/04/19","PMC8047722","","10.1021/acsomega.0c06229"
"35445545","The attenuation effect of potassium 2-(1-hydroxypentyl)-benzoate in a mouse model of diabetes-associated cognitive decline: The protein expression in the brain","Yu W, Yin H, Sun Y, Shi S, Li J, Wang X.","CNS Neurosci Ther. 2022 Jul;28(7):1108-1123. doi: 10.1111/cns.13847. Epub 2022 Apr 20.","Yu W","CNS Neurosci Ther","2022","2022/04/21","PMC9160457","","10.1111/cns.13847"
"28559245","Temporal Transcriptomic and Proteomic Landscapes of Deteriorating Pancreatic Islets in Type 2 Diabetic Rats","Hou J, Li Z, Zhong W, Hao Q, Lei L, Wang L, Zhao D, Xu P, Zhou Y, Wang Y, Xu T.","Diabetes. 2017 Aug;66(8):2188-2200. doi: 10.2337/db16-1305. Epub 2017 May 30.","Hou J","Diabetes","2017","2017/06/01","","","10.2337/db16-1305"
"34406397","Multi-omics profiling: the way towards precision medicine in metabolic diseases","Hu C, Jia W.","J Mol Cell Biol. 2021 Aug 18;13(8):576-93. doi: 10.1093/jmcb/mjab051. Online ahead of print.","Hu C","J Mol Cell Biol","2021","2021/08/18","PMC8697344","","10.1093/jmcb/mjab051"
"29718545","Studies of advanced glycation end products and oxidation biomarkers for type 2 diabetes","Chiu CJ, Rabbani N, Rowan S, Chang ML, Sawyer S, Hu FB, Willett W, Thornalley PJ, Anwar A, Bar L, Kang JH, Taylor A.","Biofactors. 2018 May;44(3):281-288. doi: 10.1002/biof.1423. Epub 2018 May 2.","Chiu CJ","Biofactors","2018","2018/05/03","PMC8527553","NIHMS1644897","10.1002/biof.1423"
"35766999","Proteomic analysis of infected root canals with apical periodontitis in patients with type 2 diabetes mellitus: A cross-sectional study","Loureiro C, Buzalaf MAR, Pessan JP, Ventura TMO, Pelá VT, Ribeiro APF, Jacinto RC.","Int Endod J. 2022 Sep;55(9):910-922. doi: 10.1111/iej.13794. Epub 2022 Jul 14.","Loureiro C","Int Endod J","2022","2022/06/29","","","10.1111/iej.13794"
"37895816","Proteomic Profiling Identifies Distinct Regulation of Proteins in Obese Diabetic Patients Treated with Metformin","Alshahrani A, Aljada A, Masood A, Mujammami M, Alfadda AA, Musambil M, Alanazi IO, Al Dubayee M, Abdel Rahman AM, Benabdelkamel H.","Pharmaceuticals (Basel). 2023 Sep 23;16(10):1345. doi: 10.3390/ph16101345.","Alshahrani A","Pharmaceuticals (Basel)","2023","2023/10/28","PMC10609691","","10.3390/ph16101345"
"20127051","Proteomic profiling of non-obese type 2 diabetic skeletal muscle","Mullen E, Ohlendieck K.","Int J Mol Med. 2010 Mar;25(3):445-58. doi: 10.3892/ijmm_00000364.","Mullen E","Int J Mol Med","2010","2010/02/04","","","10.3892/ijmm_00000364"
"22553731","Proteomic analysis of human serum from diabetic retinopathy","Liu YP, Hu SW, Wu ZF, Mei LX, Lang P, Lu XH.","Int J Ophthalmol. 2011;4(6):616-22. doi: 10.3980/j.issn.2222-3959.2011.06.08. Epub 2011 Dec 18.","Liu YP","Int J Ophthalmol","2011","2012/05/04","PMC3340797","","10.3980/j.issn.2222-3959.2011.06.08"
"23220024","Proteomic analysis of retinopathy-related plasma biomarkers in diabetic patients","Lu CH, Lin ST, Chou HC, Lee YR, Chan HL.","Arch Biochem Biophys. 2013 Jan 15;529(2):146-56. doi: 10.1016/j.abb.2012.11.004. Epub 2012 Dec 4.","Lu CH","Arch Biochem Biophys","2013","2012/12/11","","","10.1016/j.abb.2012.11.004"
"38925318","Er-Dong-Xiao-Ke decoction regulates lipid metabolism via PPARG-mediated UCP2/AMPK signaling to alleviate diabetic meibomian gland dysfunction","Shi L, Li LJ, Sun XY, Chen YY, Luo D, He LP, Ji HJ, Gao WP, Shen HX.","J Ethnopharmacol. 2024 Oct 28;333:118484. doi: 10.1016/j.jep.2024.118484. Epub 2024 Jun 24.","Shi L","J Ethnopharmacol","2024","2024/06/26","","","10.1016/j.jep.2024.118484"
"36630488","Protein Markers of Diabetes Discovered in an African American Cohort","Chen ZZ, Gao Y, Keyes MJ, Deng S, Mi M, Farrell LA, Shen D, Tahir UA, Cruz DE, Ngo D, Benson MD, Robbins JM, Correa A, Wilson JG, Gerszten RE.","Diabetes. 2023 Apr 1;72(4):532-543. doi: 10.2337/db22-0710.","Chen ZZ","Diabetes","2023","2023/01/11","PMC10033249","","10.2337/db22-0710"
"30287505","Proteasome subunit-α type-6 protein is post-transcriptionally repressed by the microRNA-4490 in diabetic nephropathy","Feng Y, Jin MY, Liu DW, Wei L.","Biosci Rep. 2018 Oct 31;38(5):BSR20180815. doi: 10.1042/BSR20180815. Print 2018 Oct 31.","Feng Y","Biosci Rep","2018","2018/10/06","PMC6209586","","10.1042/BSR20180815"
"27394190","Quantitative proteomic profiling reveals hepatic lipogenesis and liver X receptor activation in the PANDER transgenic model","Athanason MG, Ratliff WA, Chaput D, MarElia CB, Kuehl MN, Stevens SM Jr, Burkhardt BR.","Mol Cell Endocrinol. 2016 Nov 15;436:41-9. doi: 10.1016/j.mce.2016.07.009. Epub 2016 Jul 7.","Athanason MG","Mol Cell Endocrinol","2016","2016/07/11","PMC5789791","NIHMS805272","10.1016/j.mce.2016.07.009"
"38313512","Plasma Proteomic Signature of Endometrial Cancer in Patients with Diabetes","Mujammami M, Rafiullah M, Akkour K, Alfadda AA, Masood A, Joy SS, Alhalal H, Arafah M, Alshehri E, Alanazi IO, Benabdelkamel H.","ACS Omega. 2024 Jan 18;9(4):4721-4732. doi: 10.1021/acsomega.3c07992. eCollection 2024 Jan 30.","Mujammami M","ACS Omega","2024","2024/02/05","PMC10831832","","10.1021/acsomega.3c07992"
"22100959","Urinary F2-isoprostanes as a biomarker of reduced risk of type 2 diabetes","Il'yasova D, Spasojevic I, Base K, Zhang H, Wang F, Young SP, Millington DS, D'Agostino RB Jr, Wagenknecht LE.","Diabetes Care. 2012 Jan;35(1):173-4. doi: 10.2337/dc11-1502. Epub 2011 Nov 18.","Il'yasova D","Diabetes Care","2012","2011/11/22","PMC3241306","","10.2337/dc11-1502"
"27446820","Differentiation of type 2 diabetes mellitus with different complications by proteomic analysis of plasma low abundance proteins","Yeh SH, Chang WC, Chuang H, Huang HC, Liu RT, Yang KD.","J Diabetes Metab Disord. 2016 Jul 20;15:24. doi: 10.1186/s40200-016-0246-6. eCollection 2015.","Yeh SH","J Diabetes Metab Disord","2016","2016/07/23","PMC4955199","","10.1186/s40200-016-0246-6"
"22997279","Gas chromatography-tandem mass spectrometry method for the simultaneous determination of oxysterols, plant sterols, and cholesterol precursors","Matysik S, Klünemann HH, Schmitz G.","Clin Chem. 2012 Nov;58(11):1557-64. doi: 10.1373/clinchem.2012.189605. Epub 2012 Sep 20.","Matysik S","Clin Chem","2012","2012/09/22","","","10.1373/clinchem.2012.189605"
"34041584","The salivary proteome reflects some traits of dietary habits in diabetic and non-diabetic older adults","Chambon C, Neyraud E, Sayd T, Bros P, Di Biagio R, Hyvrier F, Féart C, André P, Rodriguez-Artalejo F, Lopez-Garcia E, Garcia-Esquinas E, Gomez-Cabrero D, Proctor G, Morzel M.","Eur J Nutr. 2021 Dec;60(8):4331-4344. doi: 10.1007/s00394-021-02584-2. Epub 2021 May 26.","Chambon C","Eur J Nutr","2021","2021/05/27","","","10.1007/s00394-021-02584-2"
"37530283","Comparative proteomics of proliferative diabetic retinopathy in people with Type 2 diabetes highlights the role of inflammation, visual transduction, and extracellular matrix pathways","Sen S, Udaya P, Jeya Maheshwari J, Kohli P, Parida H, Kannan NB, Ramasamy K, Dharmalingam K.","Indian J Ophthalmol. 2023 Aug;71(8):3069-3079. doi: 10.4103/IJO.IJO_276_23.","Sen S","Indian J Ophthalmol","2023","2023/08/02","PMC10538831","","10.4103/IJO.IJO_276_23"
"27173514","Association between exposures to brominated trihalomethanes, hepatic injury and type II diabetes mellitus","Makris KC, Andrianou XD, Charisiadis P, Burch JB, Seth RK, Ioannou A, Picolos M, Christophi CA, Chatterjee S.","Environ Int. 2016 Jul-Aug;92-93:486-93. doi: 10.1016/j.envint.2016.04.012. Epub 2016 May 10.","Makris KC","Environ Int","2016","2016/05/14","","","10.1016/j.envint.2016.04.012"
"39056150","How mass spectrometry can be exploited to study AMPK","Rider MH, Vertommen D, Johanns M.","Essays Biochem. 2024 Nov 18;68(3):283-294. doi: 10.1042/EBC20240009.","Rider MH","Essays Biochem","2024","2024/07/26","","","10.1042/EBC20240009"
"38586358","Aging related obesity and type 2 diabetes mellitus suppress neuromuscular communication and aggravate skeletal muscle dysfunction in rhesus monkeys","Pu S, Liu Y, Wu W, Sun F, Lu H, Xu X, Su Y, Cheng W, Wang H.","Heliyon. 2024 Mar 25;10(7):e28549. doi: 10.1016/j.heliyon.2024.e28549. eCollection 2024 Apr 15.","Pu S","Heliyon","2024","2024/04/08","PMC10998128","","10.1016/j.heliyon.2024.e28549"
"39703749","The Alteration of Proteomic Profiles in Hippocampus of Type 2 Diabetic Mice Associated With Cognitive Impairment","Janthakhin Y, Juntapremjit S, Hummel K, Razzazi-Fazeli E, Kingtong S.","Bioinform Biol Insights. 2024 Dec 18;18:11779322241306290. doi: 10.1177/11779322241306290. eCollection 2024.","Janthakhin Y","Bioinform Biol Insights","2024","2024/12/20","PMC11656429","","10.1177/11779322241306290"
"34124444","Proteomic Analysis Reveals That Metformin Suppresses PSMD2, STIP1, and CAP1 for Preventing Gastric Cancer AGS Cell Proliferation and Migration","Wang WH, Chen SK, Huang HC, Juan HF.","ACS Omega. 2021 May 26;6(22):14208-14219. doi: 10.1021/acsomega.1c00894. eCollection 2021 Jun 8.","Wang WH","ACS Omega","2021","2021/06/14","PMC8190800","","10.1021/acsomega.1c00894"
"32296090","Serum albumin cysteine trioxidation is a potential oxidative stress biomarker of type 2 diabetes mellitus","Paramasivan S, Adav SS, Ngan SC, Dalan R, Leow MK, Ho HH, Sze SK.","Sci Rep. 2020 Apr 15;10(1):6475. doi: 10.1038/s41598-020-62341-z.","Paramasivan S","Sci Rep","2020","2020/04/17","PMC7160123","","10.1038/s41598-020-62341-z"
"26073454","Strategies, models and biomarkers in experimental non-alcoholic fatty liver disease research","Willebrords J, Pereira IV, Maes M, Crespo Yanguas S, Colle I, Van Den Bossche B, Da Silva TC, de Oliveira CP, Andraus W, Alves VA, Cogliati B, Vinken M.","Prog Lipid Res. 2015 Jul;59:106-25. doi: 10.1016/j.plipres.2015.05.002. Epub 2015 Jun 11.","Willebrords J","Prog Lipid Res","2015","2015/06/16","PMC4596006","EMS64927","10.1016/j.plipres.2015.05.002"
"33137378","Pioglitazone corrects dysregulation of skeletal muscle mitochondrial proteins involved in ATP synthesis in type 2 diabetes","Fiorentino TV, Monroy A, Kamath S, Sotero R, Cas MD, Daniele G, Chavez AO, Abdul-Ghani M, Hribal ML, Sesti G, Tripathy D, DeFronzo RA, Folli F.","Metabolism. 2021 Jan;114:154416. doi: 10.1016/j.metabol.2020.154416. Epub 2020 Oct 31.","Fiorentino TV","Metabolism","2021","2020/11/02","","","10.1016/j.metabol.2020.154416"
"35935651","Plasma fingerprint of free fatty acids and their correlations with the traditional cardiac biomarkers in patients with type 2 diabetes complicated by coronary heart disease","Hu T, Zhang W, Han F, Zhao R, Liu L, An Z.","Front Cardiovasc Med. 2022 Jul 22;9:903412. doi: 10.3389/fcvm.2022.903412. eCollection 2022.","Hu T","Front Cardiovasc Med","2022","2022/08/08","PMC9355375","","10.3389/fcvm.2022.903412"
"26302420","Proteomic Analysis of Disease Stratified Human Pancreas Tissue Indicates Unique Signature of Type 1 Diabetes","Burch TC, Morris MA, Campbell-Thompson M, Pugliese A, Nadler JL, Nyalwidhe JO.","PLoS One. 2015 Aug 24;10(8):e0135663. doi: 10.1371/journal.pone.0135663. eCollection 2015.","Burch TC","PLoS One","2015","2015/08/25","PMC4547762","","10.1371/journal.pone.0135663"
"36876056","Differences in protein expression, at the basal state and at 2 h of insulin infusion, in muscle biopsies from healthy Arab men with high or low insulin sensitivity measured by hyperinsulinemic euglycemic clamp","Bettahi I, Krishnankutty R, Jaganjac M, Suleiman NNM, Ramanjaneya M, Jerobin J, Hassoun S, Alkasem M, Abdelhakam I, Iskandarani A, Samra TA, Mohamed-Ali V, Abou-Samra AB.","Front Endocrinol (Lausanne). 2023 Feb 17;13:1024832. doi: 10.3389/fendo.2022.1024832. eCollection 2022.","Bettahi I","Front Endocrinol (Lausanne)","2023","2023/03/06","PMC9982120","","10.3389/fendo.2022.1024832"
"20859605","Proteomic analysis of mitochondrial proteins in a mouse model of type 2 diabetes","Essop MF, Chan WA, Hattingh S.","Cardiovasc J Afr. 2011 Jul-Aug;22(4):175-8. doi: 10.5830/CVJA-2010-058. Epub 2010 Sep 11.","Essop MF","Cardiovasc J Afr","2011","2010/09/23","PMC3721950","","10.5830/CVJA-2010-058"
"35817131","A meal rich in palm oil or butter modifies the sphingolipid profile of postprandial triglyceride-rich lipoproteins from type 2 diabetic women","Boulet MM, Calzada C, Pettazzoni M, Lelekov-Boissard T, Buisson C, Di Filippo M, Durand A, Lambert-Porcheron S, Nazare JA, Moulin P, Michalski MC, Cheillan D.","Biochimie. 2022 Dec;203:11-19. doi: 10.1016/j.biochi.2022.07.003. Epub 2022 Jul 8.","Boulet MM","Biochimie","2022","2022/07/11","","","10.1016/j.biochi.2022.07.003"
"39548809","Blood metabolomic profile in patients with type 2 diabetes mellitus with diabetic peripheral neuropathic pain","Kuo HC, Lin CN, Tsai SS, Chen CM, Lyu RK, Chu CC, Ro LS, Liao MF, Chang HS, Weng YC, Hwang JS.","J Diabetes Investig. 2025 Feb;16(2):246-256. doi: 10.1111/jdi.14355. Epub 2024 Nov 16.","Kuo HC","J Diabetes Investig","2025","2024/11/16","PMC11786186","","10.1111/jdi.14355"
"32545899","Differential Urinary Proteome Analysis for Predicting Prognosis in Type 2 Diabetes Patients with and without Renal Dysfunction","Ahn HS, Kim JH, Jeong H, Yu J, Yeom J, Song SH, Kim SS, Kim IJ, Kim K.","Int J Mol Sci. 2020 Jun 14;21(12):4236. doi: 10.3390/ijms21124236.","Ahn HS","Int J Mol Sci","2020","2020/06/18","PMC7352871","","10.3390/ijms21124236"
"35165706","Circulating Palmitoyl Sphingomyelin Is Associated With Cardiovascular Disease in Individuals With Type 2 Diabetes: Findings From the China Da Qing Diabetes Study","Chen Y, Jia H, Qian X, Wang J, Yu M, Gong Q, An Y, Li H, Li S, Shi N, Zou Z, Li G.","Diabetes Care. 2022 Mar 1;45(3):666-673. doi: 10.2337/dc21-1520.","Chen Y","Diabetes Care","2022","2022/02/15","PMC8918230","","10.2337/dc21-1520"
"34957219","Impact of the Glycemic Level on the Salivary Proteome of Middle-Aged and Elderly People With Type 2 Diabetes Mellitus: An Observational Study","Jia SY, Zhang YL, Sun XY, Yuan C, Zheng SG.","Front Mol Biosci. 2021 Dec 10;8:790091. doi: 10.3389/fmolb.2021.790091. eCollection 2021.","Jia SY","Front Mol Biosci","2021","2021/12/27","PMC8703016","","10.3389/fmolb.2021.790091"
"34441954","Changes in the Proteome Profile of People Achieving Remission of Type 2 Diabetes after Bariatric Surgery","Iqbal Z, Fachim HA, Gibson JM, Baricevic-Jones I, Campbell AE, Geary B, Donn RP, Hamarashid D, Syed A, Whetton AD, Soran H, Heald AH.","J Clin Med. 2021 Aug 18;10(16):3659. doi: 10.3390/jcm10163659.","Iqbal Z","J Clin Med","2021","2021/08/27","PMC8396849","","10.3390/jcm10163659"
"19118452","Proteomic identification of salivary biomarkers of type-2 diabetes","Rao PV, Reddy AP, Lu X, Dasari S, Krishnaprasad A, Biggs E, Roberts CT, Nagalla SR.","J Proteome Res. 2009 Jan;8(1):239-45. doi: 10.1021/pr8003776.","Rao PV","J Proteome Res","2009","2009/01/03","","","10.1021/pr8003776"
"35566027","High-Resolution Tandem Mass Spectrometry Identifies a Particular Ganglioside Pattern in Early Diabetic Kidney Disease of Type 2 Diabetes Mellitus Patients","Suteanu-Simulescu A, Zamfir AD, Ica R, Sarbu M, Munteanu CVA, Gadalean F, Vlad A, Bob F, Jianu DC, Petrica L.","Molecules. 2022 Apr 21;27(9):2679. doi: 10.3390/molecules27092679.","Suteanu-Simulescu A","Molecules","2022","2022/05/14","PMC9103338","","10.3390/molecules27092679"
"30599058","Protein markers and risk of type 2 diabetes and prediabetes: a targeted proteomics approach in the KORA F4/FF4 study","Huth C, von Toerne C, Schederecker F, de Las Heras Gala T, Herder C, Kronenberg F, Meisinger C, Rathmann W, Koenig W, Waldenberger M, Roden M, Peters A, Hauck SM, Thorand B.","Eur J Epidemiol. 2019 Apr;34(4):409-422. doi: 10.1007/s10654-018-0475-8. Epub 2018 Dec 31.","Huth C","Eur J Epidemiol","2019","2019/01/02","PMC6451724","","10.1007/s10654-018-0475-8"
"39130597","Proteomics Analysis Provides Insights into the Role of Lipid Metabolism in T2DM-Related Sarcopenia","Wu J, Wang S, Zhuang H, Wang W, Wang Y, Chen Y, Huang Z, Chen C, Chen X.","ACS Omega. 2024 Jul 26;9(31):34056-34069. doi: 10.1021/acsomega.4c04668. eCollection 2024 Aug 6.","Wu J","ACS Omega","2024","2024/08/12","PMC11308078","","10.1021/acsomega.4c04668"
"36891577","Optimised plasma sample preparation and LC-MS analysis to support large-scale proteomic analysis of clinical trial specimens: Application to the Fenofibrate Intervention and Event Lowering in Diabetes (FIELD) trial","O'Rourke MB, Januszewski AS, Sullivan DR, Lengyel I, Stewart AJ, Arya S, Ma RC, Galande S, Hardikar AA, Joglekar MV, Keech AC, Jenkins AJ, Molloy MP.","Proteomics Clin Appl. 2023 May;17(3):e2200106. doi: 10.1002/prca.202200106. Epub 2023 Mar 22.","O'Rourke MB","Proteomics Clin Appl","2023","2023/03/09","PMC10909541","","10.1002/prca.202200106"
"35200621","Regulatory Effects of Functional Soluble Dietary Fiber from Saccharina japonica Byproduct on the Liver of Obese Mice with Type 2 Diabetes Mellitus","Zhang L, Wang X, He Y, Cao J, Wang K, Lin H, Qu C, Miao J.","Mar Drugs. 2022 Jan 21;20(2):91. doi: 10.3390/md20020091.","Zhang L","Mar Drugs","2022","2022/02/24","PMC8877147","","10.3390/md20020091"
"20205888","Plasma proteome analysis of patients with type 1 diabetes with diabetic nephropathy","Overgaard AJ, Hansen HG, Lajer M, Pedersen L, Tarnow L, Rossing P, McGuire JN, Pociot F.","Proteome Sci. 2010 Feb 3;8:4. doi: 10.1186/1477-5956-8-4.","Overgaard AJ","Proteome Sci","2010","2010/03/09","PMC2827395","","10.1186/1477-5956-8-4"
"35883498","Association between Higher Circulating Leucine-Rich α-2 Glycoprotein 1 Concentrations and Specific Plasma Ceramides in Postmenopausal Women with Type 2 Diabetes","Mantovani A, Csermely A, Sani E, Beatrice G, Petracca G, Lunardi G, Bonapace S, Lippi G, Targher G.","Biomolecules. 2022 Jul 5;12(7):943. doi: 10.3390/biom12070943.","Mantovani A","Biomolecules","2022","2022/07/27","PMC9312999","","10.3390/biom12070943"
"20735160","Proteomic identification of human urinary biomarkers in diabetes mellitus type 2","Riaz S, Alam SS, Srai SK, Skinner V, Riaz A, Akhtar MW.","Diabetes Technol Ther. 2010 Dec;12(12):979-88. doi: 10.1089/dia.2010.0078. Epub 2010 Aug 24.","Riaz S","Diabetes Technol Ther","2010","2010/08/26","","","10.1089/dia.2010.0078"
"20671095","Urine proteome analysis may allow noninvasive differential diagnosis of diabetic nephropathy","Papale M, Di Paolo S, Magistroni R, Lamacchia O, Di Palma AM, De Mattia A, Rocchetti MT, Furci L, Pasquali S, De Cosmo S, Cignarelli M, Gesualdo L.","Diabetes Care. 2010 Nov;33(11):2409-15. doi: 10.2337/dc10-0345. Epub 2010 Jul 29.","Papale M","Diabetes Care","2010","2010/07/31","PMC2963504","","10.2337/dc10-0345"
"28029544","LC-MS/MS method for quantitation of seven biomarkers in human plasma for the assessment of insulin resistance and impaired glucose tolerance","Zhang Q, Ford LA, Goodman KD, Freed TA, Hauser DM, Conner JK, Vroom KE, Toal DR.","J Chromatogr B Analyt Technol Biomed Life Sci. 2016 Oct 24:S1570-0232(16)30598-0. doi: 10.1016/j.jchromb.2016.10.025. Online ahead of print.","Zhang Q","J Chromatogr B Analyt Technol Biomed Life Sci","2016","2016/12/29","","","10.1016/j.jchromb.2016.10.025"
"38368755","Exploring metformin monotherapy response in Type-2 diabetes: Computational insights through clinical, genomic, and proteomic markers using machine learning algorithms","Villikudathil AT, Mc Guigan DH, English A.","Comput Biol Med. 2024 Mar;171:108106. doi: 10.1016/j.compbiomed.2024.108106. Epub 2024 Feb 16.","Villikudathil AT","Comput Biol Med","2024","2024/02/18","","","10.1016/j.compbiomed.2024.108106"
"35692536","Putative Biomarkers in Tears for Diabetic Retinopathy Diagnosis","Amorim M, Martins B, Caramelo F, Gonçalves C, Trindade G, Simão J, Barreto P, Marques I, Leal EC, Carvalho E, Reis F, Ribeiro-Rodrigues T, Girão H, Rodrigues-Santos P, Farinha C, Ambrósio AF, Silva R, Fernandes R.","Front Med (Lausanne). 2022 May 25;9:873483. doi: 10.3389/fmed.2022.873483. eCollection 2022.","Amorim M","Front Med (Lausanne)","2022","2022/06/13","PMC9174990","","10.3389/fmed.2022.873483"
"35234851","Connecting Genomics and Proteomics to Identify Protein Biomarkers for Adult and Youth-Onset Type 2 Diabetes: A Two-Sample Mendelian Randomization Study","Ghanbari F, Yazdanpanah N, Yazdanpanah M, Richards JB, Manousaki D.","Diabetes. 2022 Jun 1;71(6):1324-1337. doi: 10.2337/db21-1046.","Ghanbari F","Diabetes","2022","2022/03/02","","","10.2337/db21-1046"
"36736734","Extracellular vesicle proteomics and phosphoproteomics identify pathways for increased risk in patients hospitalized with COVID-19 and type 2 diabetes mellitus","Nunez Lopez YO, Iliuk A, Casu A, Parikh A, Smith JS, Corbin K, Lupu D, Pratley RE.","Diabetes Res Clin Pract. 2023 Mar;197:110565. doi: 10.1016/j.diabres.2023.110565. Epub 2023 Feb 1.","Nunez Lopez YO","Diabetes Res Clin Pract","2023","2023/02/03","PMC9890887","","10.1016/j.diabres.2023.110565"
"15312147","Pharmacoproteomic approach to the study of drug mode of action, toxicity, and resistance: applications in diabetes and cancer","Chapal N, Molina L, Molina F, Laplanche M, Pau B, Petit P.","Fundam Clin Pharmacol. 2004 Aug;18(4):413-22. doi: 10.1111/j.1472-8206.2004.00258.x.","Chapal N","Fundam Clin Pharmacol","2004","2004/08/18","","","10.1111/j.1472-8206.2004.00258.x"
"38879006","Glucoselysine, a unique advanced glycation end-product of the polyol pathway and its association with vascular complications in type 2 diabetes","Yamaguchi H, Matsumura T, Sugawa H, Niimi N, Sango K, Nagai R.","J Biol Chem. 2024 Jul;300(7):107479. doi: 10.1016/j.jbc.2024.107479. Epub 2024 Jun 13.","Yamaguchi H","J Biol Chem","2024","2024/06/15","PMC11283207","","10.1016/j.jbc.2024.107479"
"34926913","Hypoglycemic and Hypolipidemic Effects of Malonyl Ginsenosides from American Ginseng (Panax quinquefolius L.) on Type 2 Diabetic Mice","Liu Z, Qu CY, Li JX, Wang YF, Li W, Wang CZ, Wang DS, Song J, Sun GZ, Yuan CS.","ACS Omega. 2021 Dec 6;6(49):33652-33664. doi: 10.1021/acsomega.1c04656. eCollection 2021 Dec 14.","Liu Z","ACS Omega","2021","2021/12/20","PMC8675029","","10.1021/acsomega.1c04656"
"37205413","Discovery of Novel Digital Biomarkers for Type 2 Diabetic Nephropathy Classification via Integration of Urinary Proteomics and Pathology","Lucarelli N, Yun D, Han D, Ginley B, Moon KC, Rosenberg AZ, Tomaszewski JE, Zee J, Jen KY, Han SS, Sarder P.","medRxiv [Preprint]. 2023 May 3:2023.04.28.23289272. doi: 10.1101/2023.04.28.23289272.","Lucarelli N","medRxiv","2023","2023/05/19","PMC10187347","","10.1101/2023.04.28.23289272"
"33995275","Identification of Novel Biomarkers for Pre-diabetic Diagnosis Using a Combinational Approach","Yang MT, Chang WH, Kuo TF, Shen MY, Yang CW, Tien YJ, Lai BY, Chen YR, Chang YC, Yang WC.","Front Endocrinol (Lausanne). 2021 Apr 28;12:641336. doi: 10.3389/fendo.2021.641336. eCollection 2021.","Yang MT","Front Endocrinol (Lausanne)","2021","2021/05/17","PMC8113970","","10.3389/fendo.2021.641336"
"27282870","Microdialysis and proteomics of subcutaneous interstitial fluid reveals increased galectin-1 in type 2 diabetes patients","Fryk E, Sundelin JP, Strindberg L, Pereira MJ, Federici M, Marx N, Nyström FH, Schmelz M, Svensson PA, Eriksson JW, Borén J, Jansson PA.","Metabolism. 2016 Jul;65(7):998-1006. doi: 10.1016/j.metabol.2016.04.003. Epub 2016 Apr 13.","Fryk E","Metabolism","2016","2016/06/11","","","10.1016/j.metabol.2016.04.003"
"39303850","High glucose induces DNA methyltransferase 1 dependent epigenetic reprogramming of the endothelial exosome proteome in type 2 diabetes","Vasishta S, Ammankallu S, Poojary G, Gomes SM, Ganesh K, Umakanth S, Adiga P, Upadhya D, Prasad TSK, Joshi MB.","Int J Biochem Cell Biol. 2024 Nov;176:106664. doi: 10.1016/j.biocel.2024.106664. Epub 2024 Sep 19.","Vasishta S","Int J Biochem Cell Biol","2024","2024/09/20","","","10.1016/j.biocel.2024.106664"
"35012642","Thymosin beta-4 improves endothelial function and reparative potency of diabetic endothelial cells differentiated from patient induced pluripotent stem cells","Su L, Kong X, Loo S, Gao Y, Liu B, Su X, Dalan R, Ma J, Ye L.","Stem Cell Res Ther. 2022 Jan 10;13(1):13. doi: 10.1186/s13287-021-02687-x.","Su L","Stem Cell Res Ther","2022","2022/01/11","PMC8751378","","10.1186/s13287-021-02687-x"
"22340678","Identification of liver proteins altered by type 2 diabetes mellitus in obese subjects","Valle A, Catalán V, Rodríguez A, Rotellar F, Valentí V, Silva C, Salvador J, Frühbeck G, Gómez-Ambrosi J, Roca P, Oliver J.","Liver Int. 2012 Jul;32(6):951-61. doi: 10.1111/j.1478-3231.2012.02765.x. Epub 2012 Feb 19.","Valle A","Liver Int","2012","2012/02/21","","","10.1111/j.1478-3231.2012.02765.x"
"33564428","Urinary fetuin-A peptides as a new marker for impaired kidney function in patients with type 2 diabetes","Magalhães P, Zürbig P, Mischak H, Schleicher E.","Clin Kidney J. 2020 Oct 23;14(1):269-276. doi: 10.1093/ckj/sfaa176. eCollection 2021 Jan.","Magalhães P","Clin Kidney J","2020","2021/02/10","PMC7857838","","10.1093/ckj/sfaa176"
"35497878","Prediction of the Short-Term Risk of New-Onset Renal Dysfunction in Patients with Type 2 Diabetes: A Longitudinal Observational Study","Xu J, Shan X, Xu Y, Ma Y, Wang H.","J Immunol Res. 2022 Apr 20;2022:6289261. doi: 10.1155/2022/6289261. eCollection 2022.","Xu J","J Immunol Res","2022","2022/05/02","PMC9045969","","10.1155/2022/6289261"
